URL,Title,Content
https://kgiamalis.co/blog/code-anomaly-detection, Anomaly detection algorithm ,"Anomaly detection algorithm  Anomaly detection is a data-driven concept that is widely used by businesses across industries in order to identify potential anomalies in a performance of a product. The concept applies in multiple situations, from fraud detection, to performance monitoring, budget optimization etc.  For this demonstration, we'll be using a simple dataset and the Prophet algorithm. Its not a pure anomaly detection algorithm but it can serve this purpose too. We'll work with a dataset detailing prices for various fuel types. You can download it from this website (from the 1st table).   We'll be using a Collab notebook, so there's no need to download any additional tools to run the provided code.  Run the code on your own, adjust the interval_width and check the different results that will be generated. Also, try to expand the capabilities of Prophet or try other algorithms (like Luminaire) to get a better understanding of how anomaly detection works. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/did-you-just-join-a-company-read-this, Outwork everyone,"Outwork everyone Recently, I found myself engaged in a thought-provoking discussion with a close friend of mine, Harris. We were contemplating, hypothetically, our next professional step.  More specifically, we focused on how an individual can maintain superior quality and high standards in their work when stepping into a new organization.  Having spent eight years at efood, I have accumulated a vast amount of contextual knowledge and experience. Naturally, this puts any newcomer, no matter how competent, at a relative disadvantage. It may even seem unfair.  We came with a conclusion. The best way to uphold high standards as a newcomer is not just to work hard, work smart or both.  The best way is to outwork everyone.  Let me clarify, this is not about competition. Outworking others does not imply measuring their working hours of others and then merely adding a bit more to it. It's also not about simply being a hard worker since it does not necessarily means more working hours. Last but not least, this is the best way, not the only way.  Outworking is a mindset.  It begins with outworking yourself.  Outworking is hard, hence the competition is low. Outworking isn't about office politics. It's purely about the work you produce. Outworking is not luck. You can’t control luck (you can only nudge it). Outworking is correlated with high quality deliverables & deep work. Outworking is about being both passionate and disciplined professional.  If you have the mindset of outworking, your effort will definitely will be worthwhile, regardless the result.  It may not sound glamorous. Some might perceive it as potentially toxic (though I assure you, it is not), or even dismiss it as a cliché.  However, the truth remains - outworking is the best way forward, at least for everyone that want to thrive.  Last note: Outworking does not mean no-life. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/the-okrs-paradox, The OKRs paradox,"The OKRs paradox I use the OKRs method for planning in the last 9 years. So far, I have used them in Marketing, Product and Ops teams.  We tried several approaches and currently but what we observed is the following: There are Objectives that we heavily worked on, without moving the needle. There are Key Results that were achieved, without developing not a single Product commitment.   This is happening, simply because in the online marketplace industry, our Product is our business, which makes the process of matching objectives & key results, very challenging. Here are some real-life examples:  The solution we currently deploy on this paradox, is that in some OKRs, we do not add performance data, but we use “deliverable” data. Let me clarify: Let’s say that we want to develop a new feature that requires 10 new development changes in the platform in order to go live. On our OKRs process, we describe what are we trying to build, why are we trying to build it -without clarifying performance numbers- and the number of deliverables that should be implemented to go live. With this approach, we evaluate our OKRs, based on the deliverables and not on performance.  One note here is that it’s very tempting to switch all Product OKRs to this approach. After all, we worked very hard to develop the feature, isn’t this enough? No. It’s not. Remember, delivering projects and features in only half the job of a PM. A competent Product team should deliver business value and optimal user experience, in a timely manner, using the right technology approach.  OKRs is about WHY, WHAT & WHEN, don’t skip any part of it. Most of the professionals out there are using the OKRs framework and I’m sure that they have the same problems. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/social-touring-game, Social Touring Game,"Social Touring Game Chat with someone for two minutes, and try to figure out if it was a fellow human or an AI bot.  Think you can tell the difference? Play a chatroulette and try to figure out if you’re talking to a human or an AI bot. Think you can tell the difference? www.humanornot.ai Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/the-first-pm, The first PM,"The first PM Today, I had a conversation with another product manager about the experience of being the first PM. While I wasn't the inaugural PM at efood (that was Jason), I did get involved with the product at an early stage. At Instacar, I was the first hands-on PM consultant. Every popular app or online service we use today, regardless of its size, started with a small team of engineers and a first PM. Many companies have CEOs who built the initial product from scratch, as was the case with efood. Nevertheless, the first PM was always close to this stage. Moving from zero to one is one of the most challenging stages in product development. The development uncertainty, the volume and complexity of decisions, and the absence of structure can make this journey quite a roller-coaster ride. In an environment where there is no established rulebook, the first PM must operate without the advantage of set documentation and procedures. Their approach is more practical and agile, always ready to adapt and pivot as required.   Their experiences, including both failures and successes, form a solid foundation of knowledge that can guide future PMs and other professionals in the field. Therefore, it is beneficial to seek them out, engage with them, and ask them questions. You might gain insights that could help your product become the next big thing.  It's all about managing the chaos, thriving in uncertainty, and having the foresight to build from nothing to something. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/experience-shocks-vs-years, Experience: shocks vs years,"Experience: shocks vs years We were discussing the concept of professional experience with Michalis Konstantoulakis today and what the correct way to evaluate a potential candidate is. Neither of us is a fan of just counting years of experience, simply because this metric severely lacks business context, even if the candidate's CV includes performance metrics. To me, the combination of professional ""shocks"" with years of experience in competent positions is the right mix when it comes to evaluating someone.  If I had to choose only one though, I would choose shocks.  Examples of Professional ""Shocks"":  As a note, you can see that I don't necessarily describe a successful experience here, since we mainly evaluate the experience of a shock, rather than the result.  We are actively searching for individuals who have experienced these shocks in their professional journey and have somehow managed to successfully cope with them.  Last but not least, I found this post on IG that implies almost the same. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/marketplace-100-report-2023, Marketplace 100 report (2023),"Marketplace 100 report (2023) Today, I carefully reviewed a16z's report on the top 100 marketplaces worldwide. The fund releases this report annually, highlighting the most prominent marketplaces. Here are the key takeaways:  Read the full report here: The Marketplace 100 ranks the 100 largest consumer-facing marketplace startups and private companies. Check out breakout categories and key consumer trends. a16z.com Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/course-review-langchain-for-llm-application-development, [Review] LangChain for LLM Application Development,"[Review] LangChain for LLM Application Development Today, I completed a concise course on Langchain offered by deeplearning.ai. In this course, Andrew Ng collaborates with Harrison Chase, not the creator of Langchain, but an expert in the field.  This is my second course on LLMs. Despite its brevity, the course offers a comprehensive overview of Langchain. Even though the course duration is listed as one hour, I invested over five hours due to taking notes, running my own examples, and some minor debugging.  The course delves into topics such as:  The course emphasizes hands-on learning, providing a collaborative notebook for each section. Every segment is practical, packed with relevant examples, ensuring learners grasp how Langchain operates in real-life scenarios.  I would wholeheartedly recommend this course to anyone keen on developing applications powered by LLMs.  Link: The framework to take LLMs out of the box. Learn to use LangChain to call LLMs into new environments, and use memories, chains, and agents to take on new and complex tasks. www.deeplearning.ai Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/my-first-llm-application, My first LLM application,"My first LLM application So, here is my first published LLM application. It's a simple & straightforward application that answers questions from users based on the content of my book ""Agile Marketing: From Waterfall to Waterflow"".   Technology:  Access the application here: Agile Marketing QnA agile-marketing-qna.streamlit.app Notes:   Here's a quick overview of how it functions: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/are-you-a-gamer, Are you a gamer?,"Are you a gamer? I'm a big fan of online games and firmly believe that playing can offer significant learning experiences. For those who enjoy open-ended problem-solving and systems thinking & design, here's an excellent (though not very well-known) game to consider: Factorio invites you into an infinite 2D world where the aim is to build and create automated factories for the production of increasingly complex items.  It involves mining resources, conducting research on technologies, setting up infrastructure, automating production, and battling enemies.  The game challenges you to use your imagination in designing your factory, ingeniously combine simple elements into sophisticated structures, employ management skills to ensure smooth operation, and safeguard your factory from creatures that aren't particularly fond of you.  PS: it's complex, challenging, and addictive!  Read a relevant case study here: Is there a game that is really beneficial for your real-life skills? www.deprocrastination.co Also, here is a relevant tweet of CEO of Shopify:  You can either purchase the game or try out the demo version for free. www.factorio.com Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
